Rank,Model,ROC-AUC,PR-AUC,Denial_F1,D_Prec,D_Rec,Accuracy,Time_s
1,E_B_WeightedVote_Top3,0.9997301783876524,0.9989638562358053,0.0,0.0,0.0,0.7411314087518907,0.018112897872924805
2,M6_GBT,0.9997266914086189,0.9989406095623944,0.988614636169932,0.9869162115492731,0.9903189166454693,0.9940952120168988,3928.1331548690796
3,M2_LogisticRegression,0.9996545681349112,0.9988646869121239,0.9880108299023119,0.9875869392356393,0.9884350846087396,0.9937900954467219,499.5772500038147
4,E_A_SoftVote_All,0.9996445534593439,0.9987997290218878,0.9890879521878853,0.9886934420453973,0.9894827772922685,0.9943481719084128,0.26659107208251953
5,E_C_Stacking_LR,0.9996390140782483,0.9987744058773791,0.9901278295236088,0.9925069085240559,0.9877601287453125,0.9949010327022375,562.0940759181976
6,M4_DecisionTree,0.9994309229214765,0.9981808079766554,0.9880989330381208,0.9860112151032733,0.9901955105361114,0.9938253012048193,439.34944796562195
7,M5_RandomForest,0.9994571433942714,0.9981328016133152,0.9887797948067631,0.9898091551037508,0.9877525732692293,0.994196917540291,871.3715310096741
8,M3_LinearSVM,0.9994104441672789,0.9975518095700885,0.9890384457327829,0.9931461279050869,0.9849646025945505,0.9943481719084128,308.7870099544525
9,M1_NaiveBayes,0.9985852724550879,0.9936501364480277,0.9846067176223393,0.9921472461663168,0.9771799437368881,0.9920904396808011,61.457210063934326
10,M7_MLP,0.9893805472697742,0.9846341651199572,0.9875022778351455,0.9924026035135733,0.9826501084210818,0.9935612580190893,248.53541207313538
11,M0_Baseline,0.5,0.25886859124810935,0.0,0.0,0.0,0.7411314087518907,0.06079530715942383
